2022-05-14 14:05:929 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-14 15:05:790 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-14 15:05:583 INFO  HomePage :37 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (3cad2fc83c1e8428d897e89769ab8d65)] -> link text: Log in]
2022-05-14 15:05:630 INFO  LoginPage :44 - Getting text from : [[ChromeDriver: chrome on WINDOWS (3cad2fc83c1e8428d897e89769ab8d65)] -> xpath: //h1[contains(text(),'Welcome, Please Sign In!')]]
2022-05-14 16:05:75 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-14 16:05:938 INFO  HomePage :37 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (ddb4d76b9648e8fe2a43410df19bd93e)] -> link text: Log in]
2022-05-14 16:05:982 INFO  LoginPage :44 - Getting text from : [[ChromeDriver: chrome on WINDOWS (ddb4d76b9648e8fe2a43410df19bd93e)] -> xpath: //h1[contains(text(),'Welcome, Please Sign In!')]]
2022-05-14 16:05:19 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-14 16:05:144 INFO  HomePage :37 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (00f56b5227a2d612e9ee6012a9b3070c)] -> link text: Log in]
2022-05-14 16:05:26 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-14 16:05:540 INFO  HomePage :37 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (375a231f36fabe2e497283b258395212)] -> link text: Log in]
2022-05-14 16:05:587 INFO  LoginPage :44 - Getting text from : [[ChromeDriver: chrome on WINDOWS (375a231f36fabe2e497283b258395212)] -> xpath: //h1[contains(text(),'Welcome, Please Sign In!')]]
2022-05-14 16:05:618 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-14 16:05:685 INFO  HomePage :37 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (99448c705bc407fc1b7fcdc631121403)] -> link text: Log in]
2022-05-14 16:05:629 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-14 16:05:124 INFO  HomePage :37 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (c8023ad16f05d5d6bd1515132e0ea20f)] -> link text: Log in]
2022-05-14 16:05:499 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-14 16:05:725 INFO  HomePage :37 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (d3401880e92d098decfd590c89ad59c1)] -> link text: Log in]
2022-05-14 16:05:900 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-14 16:05:813 INFO  HomePage :37 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (439dc8c98da8f692ed361f8f118e7af2)] -> link text: Log in]
2022-05-14 16:05:351 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-14 16:05:731 INFO  HomePage :37 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (d9c31975d955b0412628e1e570e2d288)] -> link text: Log in]
2022-05-14 16:05:788 INFO  LoginPage :44 - Getting text from : [[ChromeDriver: chrome on WINDOWS (d9c31975d955b0412628e1e570e2d288)] -> xpath: //h1[contains(text(),'Welcome, Please Sign In!')]]
2022-05-14 16:05:820 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-14 16:05:442 INFO  HomePage :37 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (5d3256788545d563d662eacc76e3702c)] -> link text: Log in]
2022-05-14 16:05:313 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-14 16:05:939 INFO  HomePage :37 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (e5e45965676dd818e3f4c8c99436d4b0)] -> link text: Log in]
2022-05-14 16:05:320 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-14 16:05:920 INFO  HomePage :37 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (29642c2878cb6eab86142fec0a0ac181)] -> link text: Log in]
2022-05-14 16:05:302 INFO  ManageDriver :32 - Launching Chrome Browser
